Timestamp,Accelerometer1.Max.X,Accelerometer1.Max.Y,Accelerometer1.Max.Z,Accelerometer2.Max.X,Accelerometer2.Max.Y,Accelerometer2.Max.Z,Accelerometer1.Min.X,Accelerometer1.Min.Y,Accelerometer1.Min.Z,Accelerometer2.Min.X,Accelerometer2.Min.Y,Accelerometer2.Min.Z,Temperature
2023-12-05 13:54:00,-0.003526926,0.02065849,1.02301,0.007222175,-0.0196507,1.036446,-0.01158881,0.01528382,0.9571717,-0.0008397102,-0.02502513,0.9719518,23.06841
2023-12-05 13:54:30,-0.003526926,0.02065849,1.006886,0.007222175,-0.02099419,1.036446,-0.01158881,0.01394033,0.9638898,-0.0008397102,-0.02636886,0.9827008,22.91958
2023-12-05 13:55:00,-0.0008397102,0.02334571,0.9880753,0.008565664,-0.0196507,1.020323,-0.01696324,0.01259661,0.9531407,0.0005040169,-0.03039956,0.9853881,22.90304
2023-12-05 13:55:30,0.001847506,0.02334571,0.9880753,0.005878448,-0.01830697,1.004199,-0.0196507,0.005878448,0.9585154,-0.006214142,-0.03577423,0.9773262,23.05187
2023-12-05 13:56:00,-0.004870653,0.01931477,0.9853881,0.007222175,-0.02099419,1.020323,-0.01024509,0.01394033,0.9504535,0.001847506,-0.02636886,0.9880753,23.0188
2023-12-05 13:56:30,0.005878448,0.03140759,0.9853881,0.007222175,-0.01561976,1.00823,-0.01293254,0.009909391,0.9517973,-0.004870653,-0.03039956,0.989419,22.80379
2023-12-05 13:57:00,-0.004870653,0.02200198,0.9840443,0.005878448,-0.02099419,1.006886,-0.01024509,0.01528382,0.9625463,0.001847506,-0.02636886,0.9880753,22.83688
2023-12-05 13:57:30,-0.003526926,0.01931477,0.9827008,0.007222175,-0.02099419,1.004199,-0.01158881,0.01528382,0.9652336,0.001847506,-0.02502513,0.9907625,22.8865
2023-12-05 13:58:00,-0.004870653,0.01931477,0.9907625,0.004534721,-0.02233791,1.009574,-0.01696324,0.01259661,0.9531407,0.001847506,-0.02636886,0.9786699,23.03534
2023-12-05 13:58:30,-0.003526926,0.01931477,1.000168,0.005878448,-0.02099419,1.001512,-0.01024509,0.01528382,0.9598589,0.001847506,-0.02636886,0.9907625,22.55558
2023-12-05 13:59:00,-0.004870653,0.01931477,0.9800136,0.004534721,-0.02233791,1.001512,-0.01024509,0.01125288,0.9638898,0.0005040169,-0.02636886,0.9840443,22.82033
2023-12-05 13:59:30,-0.003526926,0.02200198,0.9934499,0.005878448,-0.02099419,1.025697,-0.01158881,0.01259661,0.9437354,0.001847506,-0.03039956,0.9759826,22.8865
2023-12-05 14:00:00,-0.003526926,0.02065849,0.9934499,0.005878448,-0.0196507,1.024354,-0.01158881,0.01528382,0.9464226,0.001847506,-0.02771235,0.9813571,22.65488
